"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","cox_core_borderline","cox","borderline","non_significant",1000,10000,500,500,0,55.88,56.17,6.37,31.82,68.47,210,290,0,0,"complete"
"training","core","cox_core_borderline","cox","borderline","significant",1000,10000,500,500,0,57.48,57.94,7.04,30.89,74.53,159,335,6,0,"complete"
"training","core","cox_core_clear","cox","clear","non_significant",1000,10000,52,52,0,50.92,51.6,5.66,32.82,60.94,41,11,0,0,"incomplete"
"training","core","cox_core_clear","cox","clear","significant",1000,10000,500,500,0,69.31,69.74,5.67,30.68,84.26,6,267,227,0,"incomplete"
"training","core","cox_core_null","cox","null","non_significant",1000,10000,500,500,0,61.51,62.37,4.58,35.17,72.54,38,460,2,0,"complete"
"training","core","cox_core_null","cox","null","significant",1000,10000,500,500,0,52.41,54.02,7.58,27.28,70.57,302,197,1,0,"complete"
"training","stress","cox_weibull_stress","cox","borderline","non_significant",1000,10000,500,500,0,52.86,53.37,6.36,31.11,68.88,320,180,0,0,"complete"
"training","stress","cox_weibull_stress","cox","borderline","significant",1000,10000,500,500,0,64.92,65.53,7,30.66,80.41,33,359,108,0,"complete"
"validation","validation","cox_smoke","cox","borderline","non_significant",1000,10000,500,500,0,55.34,55.61,6.51,32.96,70.49,223,276,1,0,"complete"
"validation","validation","cox_smoke","cox","borderline","significant",1000,10000,500,500,0,58.89,58.97,7.11,29.34,82.04,128,355,17,0,"complete"
