"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","lm_core_ancova","lm","clear","non_significant",1000,10000,500,500,0,55.6,56.07,7.36,32.57,71.68,194,297,9,0,"complete"
"training","core","lm_core_ancova","lm","clear","significant",1000,10000,500,500,0,64.5,64.28,10,26.1,88.55,55,294,151,0,"complete"
"training","core","lm_core_null","lm","null","non_significant",1000,10000,500,500,0,64.69,66.38,5.89,35.98,73.53,31,368,101,0,"complete"
"training","core","lm_core_null","lm","null","significant",1000,10000,500,500,0,52.66,55.49,10.25,27.4,76.84,217,270,13,0,"complete"
"training","stress","lm_smoke","lm","clear","non_significant",1000,10000,500,500,0,58.12,58.97,8.19,32.5,73.54,152,327,21,0,"complete"
"training","stress","lm_smoke","lm","clear","significant",1000,10000,500,500,0,61.46,61.92,10.79,27.74,88.8,95,303,102,0,"complete"
"training","stress","lm_stress_heteroscedastic_missing","lm","borderline","non_significant",1000,10000,500,500,0,60.81,61.5,7.27,34.32,75.21,84,374,42,0,"complete"
"training","stress","lm_stress_heteroscedastic_missing","lm","borderline","significant",1000,10000,500,500,0,56.17,56.72,9.19,26.02,78.57,177,306,17,0,"complete"
"validation","validation","lm_validation_multidf","lm","clear","non_significant",1000,10000,500,500,0,51.43,51.97,6.3,33.64,69.91,366,134,0,0,"complete"
"validation","validation","lm_validation_multidf","lm","clear","significant",1000,10000,500,500,0,67.04,67.44,7.26,29.4,88.24,23,297,180,0,"complete"
