"split","design_layer","scenario_id","analysis_family","truth_class","screening_conclusion","n_boot","screened","selected","completed","failed","score_mean","score_median","score_sd","score_min","score_max","n_fragile_le55","n_moderate_55_70","n_robust_gt70","scenario_failed_total","scenario_status"
"training","core","two_sample_core_borderline_n40","two_sample","borderline","non_significant",1000,10000,500,500,0,64.27,65.24,10.03,35.94,86.97,105,239,156,0,"complete"
"training","core","two_sample_core_borderline_n40","two_sample","borderline","significant",1000,10000,500,500,0,60.61,63.68,14.33,26.56,93.85,144,242,114,0,"complete"
"training","core","two_sample_core_clear_n80","two_sample","clear","non_significant",1000,10000,217,217,0,51.8,52.8,7.77,33.98,69.24,131,86,0,0,"incomplete"
"training","core","two_sample_core_clear_n80","two_sample","clear","significant",1000,10000,500,500,0,77.39,77.27,10.89,33.68,100,7,115,378,0,"incomplete"
"training","core","two_sample_core_imbalanced_n28","two_sample","borderline","non_significant",1000,10000,500,500,0,68.72,69.73,12.37,37.71,99.06,62,197,241,0,"complete"
"training","core","two_sample_core_imbalanced_n28","two_sample","borderline","significant",1000,10000,500,500,0,58.53,63.29,14.12,26.65,100,208,171,121,0,"complete"
"training","core","two_sample_core_null_n20","two_sample","null","non_significant",1000,10000,500,500,0,76.43,75.61,12.23,39.27,99.24,32,112,356,0,"incomplete"
"training","core","two_sample_core_null_n20","two_sample","null","significant",1000,10000,495,495,0,56.54,64.89,16.76,24.73,94.29,222,168,105,0,"incomplete"
"training","core","two_sample_core_wilcoxon_paired_null","two_sample","null","non_significant",1000,10000,500,500,0,78.7,80.88,12.39,39.59,99.18,31,80,389,0,"incomplete"
"training","core","two_sample_core_wilcoxon_paired_null","two_sample","null","significant",1000,10000,480,480,0,54.37,63.93,20.55,22.01,100,235,125,120,0,"incomplete"
"training","core","two_sample_smoke","two_sample","null","non_significant",1000,10000,500,500,0,68.05,68.67,7.2,42.1,81.72,30,229,241,0,"complete"
"training","core","two_sample_smoke","two_sample","null","significant",1000,10000,500,500,0,54.51,57.86,12.23,26.1,89.9,206,263,31,0,"complete"
"training","stress","two_sample_stress_borderline_n40","two_sample","borderline","non_significant",1000,10000,500,500,0,63.69,64.42,10.79,38.88,86.81,117,249,134,0,"complete"
"training","stress","two_sample_stress_borderline_n40","two_sample","borderline","significant",1000,10000,500,500,0,64.38,64.38,16.58,22.6,99.98,98,204,198,0,"complete"
"training","stress","two_sample_stress_clear_n80","two_sample","clear","significant",1000,10000,500,500,0,81.75,82.38,7.01,60.9,100,0,22,478,0,"incomplete"
"training","stress","two_sample_stress_imbalanced_binary","two_sample","null","non_significant",1000,10000,500,500,0,99.66,99.96,0.85,92.02,100,0,0,500,0,"incomplete"
"training","stress","two_sample_stress_imbalanced_binary","two_sample","null","significant",1000,10000,3,3,0,67.31,62.92,25.06,44.73,94.28,1,1,1,0,"incomplete"
"training","stress","two_sample_stress_null_n20","two_sample","null","non_significant",1000,10000,149,149,0,78.98,81.48,5.53,57.1,93.11,0,14,135,369,"complete"
"training","stress","two_sample_stress_null_n20","two_sample","null","significant",1000,10000,482,482,0,56.09,63.96,17.45,21.56,99.98,216,130,136,369,"complete"
"training","stress","two_sample_stress_wilcoxon_paired_clear","two_sample","clear","significant",1000,10000,500,500,0,99.72,100,1.88,77.28,100,0,0,500,0,"incomplete"
"validation","validation","two_sample_validation_borderline_n60","two_sample","borderline","non_significant",1000,10000,411,411,0,67.4,68.25,7.04,42.44,77.91,21,205,185,89,"complete"
"validation","validation","two_sample_validation_borderline_n60","two_sample","borderline","significant",1000,10000,500,500,0,58.84,59.82,11.86,25.63,87.29,98,341,61,89,"complete"
"validation","validation","two_sample_validation_clear_n100","two_sample","clear","significant",1000,10000,500,500,0,99.52,100,1.56,88.37,100,0,0,500,0,"incomplete"
"validation","validation","two_sample_validation_null_n30","two_sample","null","non_significant",1000,10000,500,500,0,84.44,89.32,13.66,44.27,99.38,16,46,438,0,"incomplete"
"validation","validation","two_sample_validation_null_n30","two_sample","null","significant",1000,10000,376,376,0,60.35,61.62,19.23,26.74,100,166,39,171,0,"incomplete"
"validation","validation","two_sample_validation_sparse_chisq","two_sample","null","non_significant",1000,10000,449,449,0,99.08,99.84,4.05,45.09,100,2,1,446,51,"incomplete"
"validation","validation","two_sample_validation_sparse_chisq","two_sample","null","significant",1000,10000,34,34,0,82.66,77.91,7.64,77.37,97.68,0,0,34,51,"incomplete"
"validation","validation","two_sample_validation_sparse_prop","two_sample","borderline","non_significant",1000,10000,489,489,0,91.6,98.24,12.91,59.23,100,0,58,431,11,"complete"
"validation","validation","two_sample_validation_sparse_prop","two_sample","borderline","significant",1000,10000,500,500,0,74.89,83.6,18.29,52.23,99.8,202,7,291,11,"complete"
"validation","validation","two_sample_validation_wilcoxon_paired_borderline","two_sample","borderline","non_significant",1000,10000,500,500,0,57.34,59.19,11.35,34.52,83.62,202,239,59,0,"complete"
"validation","validation","two_sample_validation_wilcoxon_paired_borderline","two_sample","borderline","significant",1000,10000,500,500,0,72.81,72.32,15.82,27.24,100,39,179,282,0,"complete"
