scenario_id,analysis_family,design_layer,truth_class,target_conclusion,sample_size,n_boot,pilot_max_screen_draws,screen_draws,screen_completed,screen_failed,selected_replicates,analysis_completed,analysis_failed,completion_rate,runtime_total_seconds,runtime_median_seconds,runtime_p95_seconds,run_status,missing_strata
binomial_core_logit,binomial,core,clear,significant,100,50,250,250,250,0,20,20,0,1.000000,6.517000,0.278000,0.516100,complete,
binomial_core_null,binomial,core,null,non_significant,100,50,250,250,250,0,20,20,0,1.000000,8.345000,0.440500,0.602850,complete,
lm_core_ancova,lm,core,clear,significant,90,50,250,250,250,0,20,20,0,1.000000,4.384000,0.148000,0.469400,complete,
lm_core_null,lm,core,null,non_significant,90,50,250,250,250,0,20,20,0,1.000000,3.889000,0.183500,0.292500,complete,
poisson_core_null,poisson,core,null,non_significant,110,50,250,250,250,0,20,20,0,1.000000,11.462000,0.502000,0.922250,complete,
poisson_core_offset,poisson,core,clear,significant,100,50,250,250,250,0,20,20,0,1.000000,12.282000,0.511000,1.236800,complete,
proportion_smoke,proportion,core,clear,significant,80,50,250,250,250,0,20,20,0,1.000000,3.387000,0.165000,0.189550,complete,
tost_smoke,tost,core,clear,equivalent,80,50,250,250,250,0,20,20,0,1.000000,1.896000,0.084500,0.146100,complete,
two_sample_core_borderline_n40,two_sample,core,borderline,significant,40,50,250,250,250,0,20,20,0,1.000000,1.223000,0.061000,0.063050,complete,
two_sample_core_clear_n80,two_sample,core,clear,significant,80,50,250,250,250,0,17,17,0,1.000000,2.292000,0.135000,0.138600,incomplete,clear::non_significant=7/10
two_sample_core_imbalanced_n28,two_sample,core,borderline,significant,28,50,250,250,250,0,20,20,0,1.000000,0.918000,0.046000,0.047200,complete,
two_sample_core_null_n20,two_sample,core,null,non_significant,20,50,250,250,250,0,20,20,0,1.000000,0.841000,0.039000,0.043600,complete,
two_sample_smoke,two_sample,core,null,non_significant,50,50,250,250,250,0,20,20,0,1.000000,1.508000,0.075000,0.078150,complete,
