"scenario_id","truth_class","attempted","completed","significant_completed","failed","failure_rate"
"fisher_exact_core_n100_p0_10_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n100_p0_10_clear","clear",100,100,100,0,0
"fisher_exact_core_n100_p0_10_null","null",100,100,100,0,0
"fisher_exact_core_n100_p0_25_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n100_p0_25_clear","clear",100,100,100,0,0
"fisher_exact_core_n100_p0_25_null","null",100,100,100,0,0
"fisher_exact_core_n100_p0_50_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n100_p0_50_clear","clear",100,100,100,0,0
"fisher_exact_core_n100_p0_50_null","null",100,100,100,0,0
"fisher_exact_core_n200_p0_10_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n200_p0_10_clear","clear",100,100,100,0,0
"fisher_exact_core_n200_p0_10_null","null",100,100,100,0,0
"fisher_exact_core_n200_p0_25_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n200_p0_25_clear","clear",100,100,100,0,0
"fisher_exact_core_n200_p0_25_null","null",100,100,100,0,0
"fisher_exact_core_n200_p0_50_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n200_p0_50_clear","clear",100,100,100,0,0
"fisher_exact_core_n200_p0_50_null","null",100,100,100,0,0
"fisher_exact_core_n25_p0_10_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n25_p0_10_clear","clear",100,100,100,0,0
"fisher_exact_core_n25_p0_10_null","null",96,96,96,0,0
"fisher_exact_core_n25_p0_25_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n25_p0_25_clear","clear",100,100,100,0,0
"fisher_exact_core_n25_p0_25_null","null",100,100,100,0,0
"fisher_exact_core_n25_p0_50_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n25_p0_50_clear","clear",100,100,100,0,0
"fisher_exact_core_n25_p0_50_null","null",100,100,100,0,0
"fisher_exact_core_n50_p0_10_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n50_p0_10_clear","clear",100,100,100,0,0
"fisher_exact_core_n50_p0_10_null","null",100,100,100,0,0
"fisher_exact_core_n50_p0_25_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n50_p0_25_clear","clear",100,100,100,0,0
"fisher_exact_core_n50_p0_25_null","null",100,100,100,0,0
"fisher_exact_core_n50_p0_50_borderline","borderline",100,100,100,0,0
"fisher_exact_core_n50_p0_50_clear","clear",100,100,100,0,0
"fisher_exact_core_n50_p0_50_null","null",100,100,100,0,0
