"scenario_id","screen_status","completed_screening","failed_screening","selected_n","analyse_completed","analyse_noncompleted","analyse_runtime_sec"
"lm_ancova_core_n160_r2_10_borderline","complete",250,0,100,100,0,48.367
"lm_ancova_core_n160_r2_10_clear","complete",250,0,100,100,0,69.7959999999999
"lm_ancova_core_n160_r2_10_null","incomplete",250,0,14,14,0,2.99899999999998
"lm_ancova_core_n160_r2_40_borderline","complete",250,0,100,100,0,44.0289999999999
"lm_ancova_core_n160_r2_40_clear","complete",250,0,100,100,0,61.5129999999999
"lm_ancova_core_n160_r2_40_null","incomplete",250,0,12,12,0,3.83399999999997
"lm_ancova_core_n160_r2_70_borderline","complete",250,0,100,100,0,45.717
"lm_ancova_core_n160_r2_70_clear","complete",250,0,100,100,0,63.7269999999999
"lm_ancova_core_n160_r2_70_null","incomplete",250,0,14,14,0,4.1029999999999
"lm_ancova_core_n40_r2_10_borderline","complete",250,0,100,100,0,11.0039999999997
"lm_ancova_core_n40_r2_10_clear","complete",250,0,100,100,0,13.4179999999999
"lm_ancova_core_n40_r2_10_null","incomplete",250,0,13,13,0,1.24900000000002
"lm_ancova_core_n40_r2_40_borderline","complete",250,0,100,100,0,10.4910000000001
"lm_ancova_core_n40_r2_40_clear","complete",250,0,100,100,0,13.9380000000002
"lm_ancova_core_n40_r2_40_null","incomplete",250,0,17,17,0,1.68700000000001
"lm_ancova_core_n40_r2_70_borderline","complete",250,0,100,100,0,10.4969999999998
"lm_ancova_core_n40_r2_70_clear","complete",250,0,100,100,0,12.848
"lm_ancova_core_n40_r2_70_null","incomplete",250,0,15,15,0,1.23999999999995
"lm_ancova_core_n80_r2_10_borderline","complete",250,0,100,100,0,21.3300000000001
"lm_ancova_core_n80_r2_10_clear","complete",250,0,100,100,0,28.9049999999999
"lm_ancova_core_n80_r2_10_null","incomplete",250,0,11,11,0,1.70000000000005
"lm_ancova_core_n80_r2_40_borderline","complete",250,0,100,100,0,20.4370000000002
"lm_ancova_core_n80_r2_40_clear","complete",250,0,100,100,0,27.1120000000001
"lm_ancova_core_n80_r2_40_null","incomplete",250,0,11,11,0,1.50800000000004
"lm_ancova_core_n80_r2_70_borderline","complete",250,0,100,100,0,20.0240000000005
"lm_ancova_core_n80_r2_70_clear","complete",250,0,100,100,0,27.7399999999999
"lm_ancova_core_n80_r2_70_null","incomplete",250,0,15,15,0,2.27700000000004
