"scenario_id","design_layer","truth_class","complete_flag","target_n","completed","failed","excluded","n","failure_rate","runtime_sec"
"lm_ancova_core_n160_r2_10_borderline","core","borderline",TRUE,100,100,0,0,100,0,134.602
"lm_ancova_core_n160_r2_10_clear","core","clear",TRUE,100,100,0,0,100,0,200.613
"lm_ancova_core_n160_r2_10_null","core","null",TRUE,100,100,0,0,100,0,108.864
"lm_ancova_core_n160_r2_40_borderline","core","borderline",TRUE,100,100,0,0,100,0,181.371
"lm_ancova_core_n160_r2_40_clear","core","clear",TRUE,100,100,0,0,100,0,216.233
"lm_ancova_core_n160_r2_40_null","core","null",TRUE,100,100,0,0,100,0,126.974999999999
"lm_ancova_core_n160_r2_70_borderline","core","borderline",TRUE,100,100,0,0,100,0,217.535000000002
"lm_ancova_core_n160_r2_70_clear","core","clear",TRUE,100,100,0,0,100,0,246.993999999999
"lm_ancova_core_n160_r2_70_null","core","null",TRUE,100,100,0,0,100,0,166.870000000001
"lm_ancova_core_n40_r2_10_borderline","core","borderline",TRUE,100,100,0,0,100,0,92.4929999999999
"lm_ancova_core_n40_r2_10_clear","core","clear",TRUE,100,100,0,0,100,0,95.8419999999994
"lm_ancova_core_n40_r2_10_null","core","null",TRUE,100,100,0,0,100,0,88.562999999999
"lm_ancova_core_n40_r2_40_borderline","core","borderline",TRUE,100,100,0,0,100,0,91.6970000000006
"lm_ancova_core_n40_r2_40_clear","core","clear",TRUE,100,100,0,0,100,0,90.8410000000001
"lm_ancova_core_n40_r2_40_null","core","null",TRUE,100,100,0,0,100,0,80.2490000000009
"lm_ancova_core_n40_r2_70_borderline","core","borderline",TRUE,100,100,0,0,100,0,81.9490000000019
"lm_ancova_core_n40_r2_70_clear","core","clear",TRUE,100,100,0,0,100,0,84.693
"lm_ancova_core_n40_r2_70_null","core","null",TRUE,100,100,0,0,100,0,78.7659999999992
"lm_ancova_core_n80_r2_10_borderline","core","borderline",TRUE,100,100,0,0,100,0,178.141
"lm_ancova_core_n80_r2_10_clear","core","clear",TRUE,100,100,0,0,100,0,194.822000000001
"lm_ancova_core_n80_r2_10_null","core","null",TRUE,100,100,0,0,100,0,173.482999999998
"lm_ancova_core_n80_r2_40_borderline","core","borderline",TRUE,100,100,0,0,100,0,183.498999999999
"lm_ancova_core_n80_r2_40_clear","core","clear",TRUE,100,100,0,0,100,0,200.635999999998
"lm_ancova_core_n80_r2_40_null","core","null",TRUE,100,100,0,0,100,0,177.698000000001
"lm_ancova_core_n80_r2_70_borderline","core","borderline",TRUE,100,100,0,0,100,0,188.765
"lm_ancova_core_n80_r2_70_clear","core","clear",TRUE,100,100,0,0,100,0,200.874999999999
"lm_ancova_core_n80_r2_70_null","core","null",TRUE,100,100,0,0,100,0,179.270000000001
"lm_ancova_stress_allocation_2to1","stress","borderline",TRUE,100,100,0,0,100,0,202.487000000001
"lm_ancova_stress_heavy_tails","stress","borderline",TRUE,100,100,0,0,100,0,213.334000000001
"lm_ancova_stress_heteroscedastic","stress","borderline",TRUE,100,100,0,0,100,0,200.246000000001
"lm_ancova_stress_interaction","stress","borderline",TRUE,100,100,0,0,100,0,209.742000000001
"lm_ancova_stress_missing_baseline","stress","borderline",TRUE,100,100,0,0,100,0,149.312999999998
"lm_ancova_stress_nonlinear_baseline","stress","borderline",TRUE,100,100,0,0,100,0,147.902999999999
