"scenario_id","design_layer","truth_class","sample_size","draws","seed","target","achieved","abs_error","tolerance","pass","used_robustness_score"
"lm_ancova_v2_core_n160_r2_10_borderline","core","borderline",160,10000,20260806,0.6,0.5984,0.00159999999999993,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_10_clear","core","clear",160,10000,20260807,0.9,0.8996,0.000400000000000067,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_10_null","core","null",160,10000,20260808,0.05,0.0483,0.0017,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_40_borderline","core","borderline",160,10000,20260809,0.6,0.5999,9.9999999999989e-05,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_40_clear","core","clear",160,10000,20260810,0.9,0.8982,0.00180000000000002,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_40_null","core","null",160,10000,20260811,0.05,0.049,0.001,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_70_borderline","core","borderline",160,10000,20260812,0.6,0.6001,9.9999999999989e-05,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_70_clear","core","clear",160,10000,20260813,0.9,0.9026,0.00259999999999994,0.02,TRUE,FALSE
"lm_ancova_v2_core_n160_r2_70_null","core","null",160,10000,20260814,0.05,0.0518,0.0018,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_10_borderline","core","borderline",40,10000,20260815,0.6,0.592,0.00800000000000001,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_10_clear","core","clear",40,10000,20260816,0.9,0.8925,0.00750000000000006,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_10_null","core","null",40,10000,20260817,0.05,0.0511,0.0011,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_40_borderline","core","borderline",40,10000,20260818,0.6,0.5904,0.00959999999999994,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_40_clear","core","clear",40,10000,20260819,0.9,0.894,0.006,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_40_null","core","null",40,10000,20260820,0.05,0.0484,0.0016,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_70_borderline","core","borderline",40,10000,20260821,0.6,0.585,0.015,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_70_clear","core","clear",40,10000,20260822,0.9,0.8922,0.00780000000000003,0.02,TRUE,FALSE
"lm_ancova_v2_core_n40_r2_70_null","core","null",40,10000,20260823,0.05,0.0471,0.0029,0.02,TRUE,FALSE
"lm_ancova_v2_core_n80_r2_10_borderline","core","borderline",80,10000,20260824,0.6,0.5968,0.00319999999999998,0.02,TRUE,FALSE
