"scenario_id","design_layer","truth_class","complete_flag","target_n","completed","failed","excluded","n","failure_rate","runtime_sec"
"lm_ancova_v2_core_n160_r2_10_borderline","core","borderline",TRUE,100,100,0,0,160,0,84.573
"lm_ancova_v2_core_n160_r2_10_clear","core","clear",TRUE,100,100,0,0,160,0,125.387
"lm_ancova_v2_core_n160_r2_10_null","core","null",FALSE,100,11,0,0,160,0,8.654
"lm_ancova_v2_core_n160_r2_40_borderline","core","borderline",TRUE,100,100,0,0,160,0,91.631
"lm_ancova_v2_core_n160_r2_40_clear","core","clear",TRUE,100,100,0,0,160,0,102.375
"lm_ancova_v2_core_n160_r2_40_null","core","null",FALSE,100,21,0,0,160,0,7.02099999999997
"lm_ancova_v2_core_n160_r2_70_borderline","core","borderline",TRUE,100,100,0,0,160,0,52.5740000000002
"lm_ancova_v2_core_n160_r2_70_clear","core","clear",TRUE,100,100,0,0,160,0,80.2970000000003
"lm_ancova_v2_core_n160_r2_70_null","core","null",FALSE,100,15,0,0,160,0,5.35800000000003
"lm_ancova_v2_core_n40_r2_10_borderline","core","borderline",TRUE,100,100,0,0,40,0,16.2419999999998
"lm_ancova_v2_core_n40_r2_10_clear","core","clear",TRUE,100,100,0,0,40,0,18.624
"lm_ancova_v2_core_n40_r2_10_null","core","null",FALSE,100,19,0,0,40,0,2.31099999999992
"lm_ancova_v2_core_n40_r2_40_borderline","core","borderline",TRUE,100,100,0,0,40,0,15.2879999999999
"lm_ancova_v2_core_n40_r2_40_clear","core","clear",TRUE,100,100,0,0,40,0,19.4619999999999
"lm_ancova_v2_core_n40_r2_40_null","core","null",FALSE,100,7,0,0,40,0,0.989000000000004
"lm_ancova_v2_core_n40_r2_70_borderline","core","borderline",TRUE,100,100,0,0,40,0,15.2410000000003
"lm_ancova_v2_core_n40_r2_70_clear","core","clear",TRUE,100,100,0,0,40,0,19.8669999999999
"lm_ancova_v2_core_n40_r2_70_null","core","null",FALSE,100,12,0,0,40,0,1.49699999999996
"lm_ancova_v2_core_n80_r2_10_borderline","core","borderline",TRUE,100,100,0,0,80,0,29.6930000000002
"lm_ancova_v2_core_n80_r2_10_clear","core","clear",TRUE,100,100,0,0,80,0,38.0029999999999
"lm_ancova_v2_core_n80_r2_10_null","core","null",FALSE,100,17,0,0,80,0,3.72899999999996
"lm_ancova_v2_core_n80_r2_40_borderline","core","borderline",TRUE,100,100,0,0,80,0,30.0549999999996
"lm_ancova_v2_core_n80_r2_40_clear","core","clear",TRUE,100,100,0,0,80,0,37.5880000000003
"lm_ancova_v2_core_n80_r2_40_null","core","null",FALSE,100,9,0,0,80,0,2.15299999999999
"lm_ancova_v2_core_n80_r2_70_borderline","core","borderline",TRUE,100,100,0,0,80,0,30.9149999999999
"lm_ancova_v2_core_n80_r2_70_clear","core","clear",TRUE,100,100,0,0,80,0,37.37
"lm_ancova_v2_core_n80_r2_70_null","core","null",FALSE,100,8,0,0,80,0,1.57800000000003
