"scenario_id","truth_class","n","design_layer","analysis_conclusion","status","overall_score","fragility_component","bootstrap_reproducibility","jackknife_stability"
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",37.1020408163265,10.2040816326531,64,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",27.0204081632653,2.04081632653061,52,66.25
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",34.0816326530612,8.16326530612245,60,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",36.0816326530612,8.16326530612245,64,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",41.0612244897959,6.12244897959184,76,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",59.2244897959184,22.4489795918367,96,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",26.0204081632653,2.04081632653061,50,99.375
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",41.0816326530612,8.16326530612245,74,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",52.1632653061224,16.3265306122449,88,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",35.0408163265306,4.08163265306122,66,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",43.0816326530612,8.16326530612245,78,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",55.1836734693878,18.3673469387755,92,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",32.0612244897959,6.12244897959184,58,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",60.2448979591837,24.4897959183673,96,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",39.0612244897959,6.12244897959184,72,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",51.1836734693878,18.3673469387755,84,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",34.0816326530612,8.16326530612245,60,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",28.0204081632653,2.04081632653061,54,83.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",35.0816326530612,8.16326530612245,62,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",21.0204081632653,2.04081632653061,40,95
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",28.0204081632653,2.04081632653061,54,79.375
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",65.3061224489796,30.6122448979592,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",39.0612244897959,6.12244897959184,72,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",50.1428571428571,14.2857142857143,86,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",29.0408163265306,4.08163265306122,54,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",54.1836734693878,18.3673469387755,90,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",39.0816326530612,8.16326530612245,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",29.0204081632653,2.04081632653061,56,68.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",39.0816326530612,8.16326530612245,70,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",31.0408163265306,4.08163265306122,58,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",66.3265306122449,32.6530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",51.1632653061224,16.3265306122449,86,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",35.0612244897959,6.12244897959184,64,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",53.1836734693878,18.3673469387755,88,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",30.0408163265306,4.08163265306122,56,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",68.3877551020408,38.7755102040816,98,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",46.1428571428571,14.2857142857143,78,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",49.1020408163265,10.2040816326531,88,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",49.1428571428571,14.2857142857143,84,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2040816326531,20.4081632653061,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",48.1428571428571,14.2857142857143,82,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",23.0204081632653,2.04081632653061,44,93.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",28.0204081632653,2.04081632653061,54,93.75
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",55.1836734693878,18.3673469387755,92,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",62.2448979591837,24.4897959183673,100,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2040816326531,20.4081632653061,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",21.0204081632653,2.04081632653061,40,41.875
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",50.1632653061224,16.3265306122449,84,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",64.3061224489796,30.6122448979592,98,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",59.2448979591837,24.4897959183673,94,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",49.1020408163265,10.2040816326531,88,100
"lm_ancova_v2_core_n160_r2_10_borderline","borderline",160,"core","significant","completed",57.2244897959184,22.4489795918367,92,100
