"cutoff","false_reassurance","false_reassurance_upper","not_fragile_identification","not_fragile_identification_lower","fr_safety_margin","constraint_safety_margin","feasible"
0,1,1,1,0.997002850515637,-0.9,NA,FALSE
1,1,1,1,0.997002850515637,-0.9,NA,FALSE
2,1,1,1,0.997002850515637,-0.9,NA,FALSE
3,1,1,1,0.997002850515637,-0.9,NA,FALSE
4,1,1,1,0.997002850515637,-0.9,NA,FALSE
5,1,1,1,0.997002850515637,-0.9,NA,FALSE
6,1,1,1,0.997002850515637,-0.9,NA,FALSE
7,1,1,1,0.997002850515637,-0.9,NA,FALSE
8,1,1,1,0.997002850515637,-0.9,NA,FALSE
9,1,1,1,0.997002850515637,-0.9,NA,FALSE
10,1,1,1,0.997002850515637,-0.9,NA,FALSE
11,1,1,1,0.997002850515637,-0.9,NA,FALSE
12,1,1,1,0.997002850515637,-0.9,NA,FALSE
13,1,1,1,0.997002850515637,-0.9,NA,FALSE
14,1,1,1,0.997002850515637,-0.9,NA,FALSE
15,1,1,1,0.997002850515637,-0.9,NA,FALSE
16,1,1,1,0.997002850515637,-0.9,NA,FALSE
17,1,1,1,0.997002850515637,-0.9,NA,FALSE
18,1,1,1,0.997002850515637,-0.9,NA,FALSE
19,1,1,1,0.997002850515637,-0.9,NA,FALSE
20,1,1,1,0.997002850515637,-0.9,NA,FALSE
21,1,1,1,0.997002850515637,-0.9,NA,FALSE
22,1,1,1,0.997002850515637,-0.9,NA,FALSE
23,1,1,1,0.997002850515637,-0.9,NA,FALSE
24,0.998888888888889,0.999752080712518,1,0.997002850515637,-0.899752080712518,NA,FALSE
25,0.998888888888889,0.999752080712518,1,0.997002850515637,-0.899752080712518,NA,FALSE
26,0.99,0.994173078717581,1,0.997002850515637,-0.894173078717581,NA,FALSE
27,0.965555555555556,0.974241200246327,1,0.997002850515637,-0.874241200246327,NA,FALSE
28,0.91,0.924486656903166,0.995555555555556,0.9901374346992,-0.824486656903166,NA,FALSE
29,0.842222222222222,0.861179651602996,0.986666666666667,0.978761603909927,-0.761179651602996,NA,FALSE
30,0.774444444444444,0.796517731516083,0.974444444444444,0.964266982252246,-0.696517731516083,NA,FALSE
31,0.713333333333333,0.737458686341686,0.961111111111111,0.949055148977911,-0.637458686341686,NA,FALSE
32,0.645555555555556,0.671310501166793,0.947777777777778,0.934182345161943,-0.571310501166793,NA,FALSE
