"scenario_id","attempted","completed","failed","excluded","failure_rate"
"lm_ancova_v2_core_n160_r2_10_borderline",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_10_clear",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_10_null",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_40_borderline",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_40_clear",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_40_null",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_70_borderline",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_70_clear",100,100,0,0,0
"lm_ancova_v2_core_n160_r2_70_null",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_10_borderline",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_10_clear",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_10_null",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_40_borderline",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_40_clear",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_40_null",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_70_borderline",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_70_clear",100,100,0,0,0
"lm_ancova_v2_core_n40_r2_70_null",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_10_borderline",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_10_clear",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_10_null",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_40_borderline",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_40_clear",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_40_null",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_70_borderline",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_70_clear",100,100,0,0,0
"lm_ancova_v2_core_n80_r2_70_null",100,100,0,0,0
"lm_ancova_v2_stress_allocation_2to1",100,100,0,0,0
"lm_ancova_v2_stress_heavy_tails",100,100,0,0,0
"lm_ancova_v2_stress_heteroscedastic",100,100,0,0,0
"lm_ancova_v2_stress_interaction",100,100,0,0,0
"lm_ancova_v2_stress_missing_baseline",100,100,0,0,0
"lm_ancova_v2_stress_nonlinear_baseline",100,100,0,0,0
