"cutoff","false_reassurance","false_reassurance_upper","not_fragile_identification","not_fragile_identification_lower","fr_safety_margin","constraint_safety_margin","feasible"
0,1,1,1,0.997002850515637,-0.9,NA,FALSE
1,1,1,1,0.997002850515637,-0.9,NA,FALSE
2,1,1,1,0.997002850515637,-0.9,NA,FALSE
3,1,1,1,0.997002850515637,-0.9,NA,FALSE
4,1,1,1,0.997002850515637,-0.9,NA,FALSE
5,1,1,1,0.997002850515637,-0.9,NA,FALSE
6,1,1,1,0.997002850515637,-0.9,NA,FALSE
7,1,1,1,0.997002850515637,-0.9,NA,FALSE
8,1,1,1,0.997002850515637,-0.9,NA,FALSE
9,1,1,1,0.997002850515637,-0.9,NA,FALSE
