"scenario_id","design_layer","truth_class","complete_flag","target_n","completed","failed","excluded","n","failure_rate","runtime_sec"
"lm_ancova_v2_core_n160_r2_10_borderline","core","borderline",TRUE,100,100,0,0,160,0,157.493
"lm_ancova_v2_core_n160_r2_10_clear","core","clear",TRUE,100,100,0,0,160,0,245.092999999999
"lm_ancova_v2_core_n160_r2_10_null","core","null",TRUE,100,100,0,0,160,0,122.197000000001
"lm_ancova_v2_core_n160_r2_40_borderline","core","borderline",TRUE,100,100,0,0,160,0,181.885
"lm_ancova_v2_core_n160_r2_40_clear","core","clear",TRUE,100,100,0,0,160,0,306.493
"lm_ancova_v2_core_n160_r2_40_null","core","null",TRUE,100,100,0,0,160,0,131.383000000001
"lm_ancova_v2_core_n160_r2_70_borderline","core","borderline",TRUE,100,100,0,0,160,0,187.349999999999
"lm_ancova_v2_core_n160_r2_70_clear","core","clear",TRUE,100,100,0,0,160,0,287.404999999999
"lm_ancova_v2_core_n160_r2_70_null","core","null",TRUE,100,100,0,0,160,0,154.281
"lm_ancova_v2_core_n40_r2_10_borderline","core","borderline",TRUE,100,100,0,0,40,0,101.342000000001
"lm_ancova_v2_core_n40_r2_10_clear","core","clear",TRUE,100,100,0,0,40,0,104.354
"lm_ancova_v2_core_n40_r2_10_null","core","null",TRUE,100,100,0,0,40,0,93.1530000000018
"lm_ancova_v2_core_n40_r2_40_borderline","core","borderline",TRUE,100,100,0,0,40,0,100.839000000001
"lm_ancova_v2_core_n40_r2_40_clear","core","clear",TRUE,100,100,0,0,40,0,95.2600000000004
"lm_ancova_v2_core_n40_r2_40_null","core","null",TRUE,100,100,0,0,40,0,85.9230000000005
"lm_ancova_v2_core_n40_r2_70_borderline","core","borderline",TRUE,100,100,0,0,40,0,88.636999999999
"lm_ancova_v2_core_n40_r2_70_clear","core","clear",TRUE,100,100,0,0,40,0,91.9669999999985
"lm_ancova_v2_core_n40_r2_70_null","core","null",TRUE,100,100,0,0,40,0,86.0600000000011
"lm_ancova_v2_core_n80_r2_10_borderline","core","borderline",TRUE,100,100,0,0,80,0,103.344000000001
"lm_ancova_v2_core_n80_r2_10_clear","core","clear",TRUE,100,100,0,0,80,0,113.276000000001
"lm_ancova_v2_core_n80_r2_10_null","core","null",TRUE,100,100,0,0,80,0,93.6790000000008
"lm_ancova_v2_core_n80_r2_40_borderline","core","borderline",TRUE,100,100,0,0,80,0,104.819000000002
"lm_ancova_v2_core_n80_r2_40_clear","core","clear",TRUE,100,100,0,0,80,0,129.535999999999
"lm_ancova_v2_core_n80_r2_40_null","core","null",TRUE,100,100,0,0,80,0,94.4710000000007
"lm_ancova_v2_core_n80_r2_70_borderline","core","borderline",TRUE,100,100,0,0,80,0,106.456
"lm_ancova_v2_core_n80_r2_70_clear","core","clear",TRUE,100,100,0,0,80,0,180.099000000002
"lm_ancova_v2_core_n80_r2_70_null","core","null",TRUE,100,100,0,0,80,0,94.9419999999989
"lm_ancova_v2_stress_allocation_2to1","stress","borderline",TRUE,100,100,0,0,120,0,378.061
"lm_ancova_v2_stress_heavy_tails","stress","borderline",TRUE,100,100,0,0,120,0,328.810999999999
"lm_ancova_v2_stress_heteroscedastic","stress","borderline",TRUE,100,100,0,0,120,0,577.905000000001
"lm_ancova_v2_stress_interaction","stress","borderline",TRUE,100,100,0,0,120,0,400.615000000001
"lm_ancova_v2_stress_missing_baseline","stress","borderline",TRUE,100,100,0,0,108,0,537.941999999997
"lm_ancova_v2_stress_nonlinear_baseline","stress","borderline",TRUE,100,100,0,0,120,0,528.212999999998
