"scenario_id","design_layer","truth_class","completed","failed","failure_rate","runtime_sec"
"lm_ancova_v3_clean_n160_r2_40_clear","core","clear",100,0,0,127.525
"lm_ancova_v3_clean_n40_r2_40_clear","core","clear",100,0,0,34.006
"lm_ancova_v3_clean_n80_r2_40_clear","core","clear",100,0,0,71.287
"lm_ancova_v3_viol_n160_r2_40_clear_allocation_2to1","core","clear",100,0,0,115.374
"lm_ancova_v3_viol_n160_r2_40_clear_heavy_tails","core","clear",100,0,0,149.383
"lm_ancova_v3_viol_n160_r2_40_clear_heteroscedastic","core","clear",100,0,0,88.8109999999999
"lm_ancova_v3_viol_n160_r2_40_clear_interaction","core","clear",100,0,0,154.672
"lm_ancova_v3_viol_n160_r2_40_clear_missing_baseline","core","clear",100,0,0,126.458
"lm_ancova_v3_viol_n40_r2_40_clear_allocation_2to1","core","clear",100,0,0,33.654
"lm_ancova_v3_viol_n40_r2_40_clear_heavy_tails","core","clear",100,0,0,39.5410000000002
"lm_ancova_v3_viol_n40_r2_40_clear_heteroscedastic","core","clear",100,0,0,30.6669999999998
"lm_ancova_v3_viol_n40_r2_40_clear_interaction","core","clear",100,0,0,37.2459999999998
"lm_ancova_v3_viol_n40_r2_40_clear_missing_baseline","core","clear",100,0,0,31.2399999999996
"lm_ancova_v3_viol_n80_r2_40_clear_allocation_2to1","core","clear",100,0,0,59.8239999999997
"lm_ancova_v3_viol_n80_r2_40_clear_heavy_tails","core","clear",100,0,0,87.7440000000002
"lm_ancova_v3_viol_n80_r2_40_clear_heteroscedastic","core","clear",100,0,0,48.2320000000002
"lm_ancova_v3_viol_n80_r2_40_clear_interaction","core","clear",100,0,0,64.484
"lm_ancova_v3_viol_n80_r2_40_clear_missing_baseline","core","clear",100,0,0,59.9539999999999
