"scenario_id","design_layer","truth_class","violation_type","diagnostic_only","completed","failed","failure_rate"
"lm_ancova_v3_clean_n160_r2_40_clear","core","clear",NA,FALSE,100,0,0
"lm_ancova_v3_clean_n40_r2_40_clear","core","clear",NA,FALSE,100,0,0
"lm_ancova_v3_clean_n80_r2_40_clear","core","clear",NA,FALSE,100,0,0
"lm_ancova_v3_clean_n80_r2_40_null","stress","null",NA,TRUE,50,0,0
"lm_ancova_v3_viol_n160_r2_40_clear_allocation_2to1","core","clear","allocation_2to1",FALSE,100,0,0
"lm_ancova_v3_viol_n160_r2_40_clear_heavy_tails","core","clear","heavy_tails",FALSE,100,0,0
"lm_ancova_v3_viol_n160_r2_40_clear_heteroscedastic","core","clear","heteroscedastic",FALSE,100,0,0
"lm_ancova_v3_viol_n160_r2_40_clear_interaction","core","clear","interaction",FALSE,100,0,0
"lm_ancova_v3_viol_n160_r2_40_clear_missing_baseline","core","clear","missing_baseline",FALSE,100,0,0
"lm_ancova_v3_viol_n40_r2_40_clear_allocation_2to1","core","clear","allocation_2to1",FALSE,100,0,0
"lm_ancova_v3_viol_n40_r2_40_clear_heavy_tails","core","clear","heavy_tails",FALSE,100,0,0
"lm_ancova_v3_viol_n40_r2_40_clear_heteroscedastic","core","clear","heteroscedastic",FALSE,100,0,0
"lm_ancova_v3_viol_n40_r2_40_clear_interaction","core","clear","interaction",FALSE,100,0,0
"lm_ancova_v3_viol_n40_r2_40_clear_missing_baseline","core","clear","missing_baseline",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_clear_allocation_2to1","core","clear","allocation_2to1",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_clear_heavy_tails","core","clear","heavy_tails",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_clear_heteroscedastic","core","clear","heteroscedastic",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_clear_interaction","core","clear","interaction",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_clear_missing_baseline","core","clear","missing_baseline",FALSE,100,0,0
"lm_ancova_v3_viol_n80_r2_40_null_allocation_2to1","stress","null","allocation_2to1",TRUE,50,0,0
"lm_ancova_v3_viol_n80_r2_40_null_heavy_tails","stress","null","heavy_tails",TRUE,50,0,0
"lm_ancova_v3_viol_n80_r2_40_null_heteroscedastic","stress","null","heteroscedastic",TRUE,50,0,0
"lm_ancova_v3_viol_n80_r2_40_null_interaction","stress","null","interaction",TRUE,50,0,0
"lm_ancova_v3_viol_n80_r2_40_null_missing_baseline","stress","null","missing_baseline",TRUE,50,0,0
