"scenario","d","n_per_group","n_outliers","nrep","n_boot","scenario_seed","rejection_rate","score_all","score_all_sd","score_sig","score_nonsig","k_wc_med_sig","frag_wc_med_sig","k_ex_med_sig","s_jack_sig","s_boot_sig"
1,0,25,0,500,200,20260808,0.04,67.7806,8.23319224536256,54.69,68.3260416666667,2,4,2,88.8,67.1
2,0,25,2,500,200,20260809,0.064,66.6202,9.85728075728067,52.61875,67.5775641025641,1,2,1,85.9375,66.609375
3,0,50,0,500,200,20260810,0.076,63.3337096774194,7.36226725592609,49.9893887945671,64.4312945119397,1.5,1.5,2,86.3684210526316,63.1184210526316
4,0,50,2,500,200,20260811,0.084,62.4449161290323,7.85404667190827,51.3017665130568,63.4667770108466,2,2,2,87.3571428571429,65.5119047619048
5,0.5,25,0,500,200,20260812,0.392,61.633,11.5075200210153,61.1454081632653,61.9473684210526,3,6,4,91.734693877551,75.2551020408163
6,0.5,25,2,500,200,20260813,0.67,62.977,12.2375130009695,64.5214925373134,59.8412121212121,4,8,4,95.2179104477612,80.1567164179104
7,0.5,50,0,500,200,20260814,0.698,61.2999677419355,10.5092706740799,63.232988261392,56.8322580645161,5,5,11,97.21776504298,80.3022922636103
8,0.5,50,2,500,200,20260815,0.864,63.8859483870968,10.472038678786,65.6596475507766,52.6177419354839,6,6,10,98.9027777777778,84.7638888888889
9,0.8,25,0,500,200,20260816,0.808,67.1398,14.1722511042786,69.6660891089109,56.5083333333333,5,10,8,97.1435643564356,83.0346534653465
10,0.8,25,2,500,200,20260817,0.922,71.8806,13.6665970669652,73.3069414316703,55.0205128205128,6,12,9,98.0390455531453,88.5694143167028
11,0.8,50,0,500,200,20260818,0.976,74.9260580645161,10.1151924692613,75.5332628239027,50.233064516129,12,12,26,99.9180327868852,94.1311475409836
12,0.8,50,2,500,200,20260819,1,77.6017290322581,9.21297307513514,77.6017290322581,NA,14,14,26,99.94,96.348
